Story Number,Output,intent ,Comments
,میں یاد گار میں موجود ہوں اور میرے پاس پانچ سو روپے ہیں کیا  آپ اس رینج میں مجھے کوئی اچھا کھانا بتا سکتے ہیں.,LP,
,میں دیسی میں پالک گوشت کھانا پسند کروں گی,C,
train315,train315_S9_Sp018_F_L2_G1_A5,CP_L,
,میں فاسٹ فوڈ میں پیزا کھانا چاہتی ہوں اور میری پرائس رینج ہزار ہے کیا آپ میری مدد کر سکتے ہیں,CP,
,گلبرگ سے,L,
train316,train316_S9_Sp018_F_L2_G1_A5,CP_L,
,مجھے چائنیز پاستا کھانے کا دل کر رہا ہے اور میرے پاس  چھ سو کے قریب  پیسے ہیں. کیا آپ اس رینج میں میری کوئی مدد کر سکتے ہیں .,CP,
,میں اس وقت ڈی ایچ اے فیز میں موجود ہوں آپ یہیں پہ مجھے کوئی لوکیشن بتا دیں.,L,
train317,train317_S10_Sp018_F_L2_G1_A5,C_LP,
,میں شامی برگر کھانا چاہتی ہوں.,C,
,آپ مجھے میں اس وقت میں اس وقت یاد گار میں موجود ہوں میری پرائس رینج پانچ سو کے قریب ہے.,LP,
train318,train318_S10_Sp018_F_L2_G1_A5,C_LP,
,مجھے منچورین کھانا ہے,C,
,میں پی سی ہوٹل کے پاس ہوں اور میری پرائس رینج ہزار سے اوپر ہے,LP,
train319,train319_S11_Sp018_F_L2_G1_A5,L_CP,
,میں اس وقت کینٹ میں موجود ہوں اور کچھ کھانا چاہتی ہوں آپ مجھے کچھ آپ میری کچھ مدد کر سکتے.,L,
,میں فاسٹ فوڈ میں کھانا چاہتی ہوں اور میری پرائس رینج پانچ سو سے ہزار کے درمیان ہے.,CP,
train320,train320_S11_Sp018_F_L2_G1_A5,L_CP,
,میں اس وقت لاری اڈہ کے پاس موجود ہوں اور مجھے کچھ کھانے کا دل ہے کیا آپ میرے لئے کچھ بتا سکتے ہیں.,L,
,میں دیسی میں کڑی کھانا چاہتی ہوں اور میری پرائس میرے پاس صرف تین سو روپے موجود ہیں.,CP,
train321,train321_S12_Sp018_F_L2_G1_A5,P_CL,
,میرے پاس چار سو روپے ہیں اس رینج میں آپ مجھے کسی اچھے کھانے کا بتا سکتے ہیں .,P,
,میں چا ئنیز میں ونگز کھانا پسند کروں گی اور میری لوکیشن ڈی ایچ اے فیز ہے,CL,
train322,train322_S12_Sp018_F_L2_G1_A5,P_CL,
,میرے پاس چار سو کے قریب پیسے ہیں کیا آپ اس رینج میں مجھے کسی اچھے کھانے کے بارے میں بتا سکتے ہیں.,P,
,میں اقبال ٹاؤن میں موجود ہوں اور میں دیسی میں کڑی کھانا پسند کروں گی.,CL,
train323,train323_S13_Sp018_F_L2_G1_A5,LCP,
,اس وقت میں ایمپوریم میں کھڑی ہوں اور مجھے حلوہ پوری کھانی ہے اور میرے پاس پانچ سو سے کم پیسے ہیں کیا آپ میری مدد کر سکتے.,LCP,
train324,train324_S13_Sp018_F_L2_G1_A5,LCP,
,اس وقت میں اچھرہ میں کھڑی ہوں اور مجھے دال کدو کھانے ہیں اور میری پرائس رینج پانچ سو سے کم ہے کیا آپ میری مدد کر سکتے ہیں.,LCP,
train325,train325_S7_Sp019_M_L1_G1_A5,LC_P,
,میں اس وقت ماڈل ٹاؤن میں  ہوں اور میرا دیسی کھانا کھانے کا موڈ ہے  تو آپ  میری ہیلپ کر سکتے ہیں.,LC,
,میں مناسب کھانا پسند کرتا ہوں.,P,
train326,train326_S7_Sp019_M_L1_G1_A5,LC_P,
,میں اس وقت مصطفی ٹاؤن ہوں اور میں نے برگر کھانا ہے کیا آپ میری مدد میری مدد کر سکتے ہیں آپ ,LC,
,مہینے کا آخر چل رہا ہے تو میں سستا کھانا پسند کروں گا,P,
train327,train327_S8_Sp019_M_L1_G1_A5,LP_C,
,میں اس وقت مون مارکیٹ میں ہوں اور مجھے مناسب کھانا کھانا ہے ,LP,
,آج چائنیز کا موڈ ہے,C,
train328,train328_S8_Sp019_M_L1_G1_A5,LP_C,
,میں اس وقت اقبال ٹاؤن مون مارکیٹ ہوں اور میں مناسب قیمت کا کھانا کھاؤں گا,LP,
, میرا آج چائنیز کا موڈ ہے,C,
train330,train330_S8_Sp019_M_L1_G1_A5,LP_C,
,میں اس وقت یو ای ٹی میں ہوں اور مجھے مناسب قیمت میں کچھ بھی مل جائے میں کھا لوں گا,LP,
,میں دیسی کھانا پسند کروں گا,C,
train331,train331_S9_Sp019_M_L1_G1_A5,CP_L,
,کیا مجھے مناسب سی قیمت میں اچھی   سی کڑاہی مل سکتی ہے,CP,
,میں اقبال ٹاؤن سے کھانا پسند کروں گا,L,
 train332,train332_S9_Sp019_M_L1_G1_A5,CP_L,
,کیا مجھے مناسب سی قیمت میں پکوڑے مل سکتے ہیں,CP,
,باغبان پورہ میں ڈلیوری ہے آپ لوگوں کی,L,
train333,train333_S9_Sp019_M_L1_G1_A5,CP_L,
,مجھے اچھے سے پکوڑے چاہیں اچھی سی قیمت میں,CP,
,باغبان پورہ ,L,
train334,train334_S9_Sp019_M_L1_G1_A5,CP_L,
,مجھے مناسب  سی قیمت میں اچھے سے پکوڑے مل سکتے ہیں,CP,
,باغبان پورہ,L,
train335,train335_S10_Sp019_M_L1_G1_A5,C_LP,
,کیا مجھے ہیپی میل مل سکتی ہے ,C,
,میں اس وقت مصطفی ٹاؤن میں ہوں مجھے مناسب قیمت مل جائے تو بہتر ہے,LP,
train336,train336_S10_Sp019_M_L1_G1_A5,C_LP,
,مجھے برگر مل سکتا ہے,C,
,میں اس وقت کیولری ہوں تو مناسب قیمت پر کچھ مل جائے تو بہتر  ہے,LP,
train337,train337_S10_Sp019_M_L1_G1_A5,C_LP,
,میرا آج برگر کا موڈ ہے برگر مل سکتا ہے,C,
,میں کیولری کے پاس ہوں تو مناسب قیمت میں مل جائے تو بہتر ہے,LP,
train338,train338_S10_Sp019_M_L1_G1_A5,C_LP,
,مجھے فروٹ چاٹ کھانی ہے,C,
,میں چوبرجی کے پاس رہتا ہوں تو اچھی قیمت پہ اگر مل جائے تو بہتر ہے,LP,
train339,train339_S10_Sp019_M_L1_G1_A5,C_LP,
,مجھے فروٹ چاٹ مل سکتی ہے,C,
,میں چوبرجی کے پاس رہتا ہوں تو مجھے سستا ملنا چاہیے,LP,
train340,train340_S11_Sp019_M_L1_G1_A5,L_CP,
,میں اس وقت ماڈل ٹاؤن میں ہوں,L,
,مجھے دیسی کھانا کھانا ہے مناسب قیمت میں,CP,
train342,train342_S12_Sp019_M_L1_G1_A5,P_CL,
,میرے پاس دو ہزار روپے ہیں میں کچھ کھانا چاہتا ہوں,P,
,مجھے ہیپی میل کھانی ہے میں اس وقت یو ای ٹی میں ہوں,CL,
train343,train343_S13_Sp019_M_L1_G1_A5,LCP,
,میں اس وقت یو ای ٹی میں ہوں اور میرا لنچ ٹائم ہے تو میں اس وقت چائنیز کھانا کھانا چاہتا ہوں جس کی قیمت مناسب ہو,LCP,
train344,train344_S13_Sp019_M_L1_G1_A5,LCP,
,میں اقبال ٹاؤن میں رہتا ہوں میرے گھر مہمان آگئے ہیں  تو مجھے مناسب قیمت میں کچھ دیسی کھانا آرڈر ہے,LCP,
train345,train345_S7_Sp020_F_L1_G1_A2,LC_P,
,السلام علیکم میں کینٹ کے ایریا سے بات کر رہی ہوں مجھے چائنیز چاہیے,LC,
,مناسب رینج ہو سیون ففٹی کی رینج اگر اویلیبل ہو تو,P,
train346,train346_S7_Sp020_F_L1_G1_A2,LC_P,
,السلام علیکم میں جوہر ٹاؤن سے بات کر رہی ہو ں مجھے باربی کیو چاہیے,LC,
,سستی مطلب فائیو ہینڈرڈ کی رینج میں چاہیے,P,
train347,train347_S8_Sp020_F_L1_G1_A2,LP_C,
,میں اقبال ٹاؤن سے بات کر رہی ہوں مجھے  فائیو ہنڈرڈ سے سکس ففٹی کی رینج میں کچھ چاہیے آپ کے پاس کیا کیا اویلیبل ہے,LP,
,فاسٹ فوڈ,C,
train348,train348_S13_Sp020_F_L1_G1_A2,LCP,
,السلام علیکم میں غازی روڈ سے بات کر رہی ہوں مجھے ون تھاؤزنڈ کی رینج میں چاہیے کیا آپ کے پاس باربی کیو ہے,LCP,
train349,train349_S8_Sp020_F_L1_G1_A2,LP_C,
,السلام و علیکم میں یو ای ٹی سے بات کر رہی ہوں میرا لنچ ٹائم ہے تو اور میرے پاس پرائس رینج فائیو ہنڈرڈ ہے تو کیا اویلیبل ہے,LP,
,دیسی,C,
train350,train350_S9_Sp020_F_L1_G1_A2,CP_L,
,السلام علیکم اس وقت ناشتے کا ٹائم ہے آپ کے پاس انڈا پراٹھا اویلیبل ہو گا فائیو ہنڈرڈ کی رینج میں,CP,
,غازی روڈ سے,L,
train351,train351_S9_Sp020_F_L1_G1_A2,CP_L,
, فرائیڈ رائس  ففٹی کی رینج میں مل سکتے ہیں,CP,
,دھرم پورہ,L,
train352,train352_S9_Sp020_F_L1_G1_A2,CP_L,
,کیا چائنیز میں فرائڈ رائس اور منچورین آپ کے پا س سکس ففٹی کی رینج میں ہے,CP,
,غازی روڈ ,L,
train353,train353_S10_Sp020_F_L1_G1_A2,C_LP,
,کیا آپ کے پاس تکہ بوٹی اور بار بی کیو اویلیبل ہے,C,
,مجھے ماڈل ٹاؤن میں چاہیے ہزار روپے کی رینج تک,LP,
train354,train354_S10_Sp020_F_L1_G1_A2,C_LP,
,مجھے باربی کیو چاہیے کیا آپ کے پاس اویلیبل ہے,C,
,میں بحریہ ٹاؤن سے بات کر رہی ہوں مجھے دو ہزار تک کی رینج میں چاہیے,LP,
train355,train355_S11_Sp020_F_L1_G1_A2,L_CP,
,السلام علیکم میں دھرم پورہ سے بات کر رہی ہوں,L,
,مجھے چائنیز چاہیے سیون ففٹی کی رینج میں,CP,
train356,train356_S11_Sp020_F_L1_G1_A2,L_CP,
,میں جوہر ٹاؤن سے بات کر رہی ہوں کیا آپ کی سروس یہاں پر ہے,L,
,مجھے دیسی فوڈ چاہیے سیون ففٹی تک کی رینج میں,CP,
train357,train357_S12_Sp020_F_L1_G1_A2,P_CL,
,تھری ہنڈرڈ کی رینج میں آپ کے پاس اس وقت کیا ہوگا  ,P,
,میں ڈی ایچ اے فیز فائیو سے بات کر رہی ہوں مجھے چائنیز چاہیے,CL,
train358,train358_S12_Sp020_F_L1_G1_A2,P_CL,
,مجھے ٹو تھاؤزنڈ کی رینج میں چاہیے کیا آپ کے پاس کچھ اویلیبل ہے,P,
,مجھے فاسٹ فوڈ چاہیے اور میں ای ایم ای ڈی ایچ اے سے بات کر رہی ہوں,CL,
train359,train359_S13_Sp020_F_L1_G1_A2,LCP,
,میں کینٹ سے بات کر رہی ہوں مجھے فاسٹ فوڈ چاہیے کیا آپ کے پاس سیون ففٹی کی رینج میں کچھ اویلیبل ہو گا,LCP,
train360,train360_S7_Sp021_M_L1_G2_A2,LC_P,
,اس وقت میں لاہور کینٹ میں موجود ہوں اور میرا بار بی کیو کھانے کو دل کر رہا ہے,LC,
,میرے پاس اس وقت آٹھ سو روپے ہیں جیب میں موجود اس حساب سے مجھے بتا دیں,P,
train361,train361_S7_Sp021_M_L1_G2_A2,LC_P,
,قر بان لائنز میں موجود ہوں اور میرا شوارما برگر کھانے کو دل کر رہا ہے,LC,
,مہینے کا ایںڈ ہے میری جیب میں بس دو سو روپے ہیں تو اس حساب سے مجھے  بتا دیں,P,
train362,train362_S8_Sp021_M_L1_G2_A2,LP_C,
,اس وقت میں جوہر ٹاؤن میں موجود ہوں اور میرا کوئی تین سو روپے کی چیز کھانے کو دل کر رہا ہے,LP,
,مجھے کوئی بریانی ٹائپ کھانے کو دل کر رہا ہے,C,
train363,train363_S8_Sp021_M_L1_G2_A2,LP_C,
,اس وقت میں ٹھوکر پہ موجود ہوں اور میرا کوئی آٹھ سو روپے کی چیز کھانے کو دل کر رہا ہے,LP,
,میرا چائنیز کھانے کو آج دل کر رہا ہے چائنیز,C,
train364,train364_S8_Sp021_M_L1_G2_A2,LP_C,
,اس وقت میں سمن آباد میں موجود ہوں اور میرے پاس آٹھ سو روپے ہِں,LP,
,میرا دل کر رہا ہے کہ میں شوارما بھی کھاؤں برگر بھی کھاؤ اور ساتھ  فرائز بھی ہوں,C,
train365,train365_S11_Sp021_M_L1_G2_A2,L_CP,
,میرا چائنیز کھانے کو دل کر رہا ہے اور میری جیب میں بارہ سو روپے ہیں,CP,
,واپڈا ٹاؤن کے قریب,L,
train366,train366_S11_Sp021_M_L1_G2_A2,L_CP,
,آج میرا باربی کیو کھانے کو دل کر رہا ہے اور میری جیب میں تقریباً گیارہ سو روپے ہیں,CP,
,دیکھیں جی میں تو کینٹ میں رہتا ہوں تو اس کے پاس ہی مجھے کوئی جگہ بتائیں مناسب سی تا کہ میں آسانی سے وہاں پہنچ سکوں,L,
train367,train367_S10_Sp021_M_L1_G2_A2,C_LP,
,جی میرا آج جو ہے بہت بھوک لگی ہے مجھے صبح سے اور میرا جو ہے باربی کیو کھانے کو دل کر رہا ہے.,C,
,مجھے آپ جو ہے ٹاؤن شپ کے علاقے میں کوئی اچھا سا ریسٹورنٹ بتائیں جہاں پہ مجھے بار بی کیو مل جائے اور میرے پاس تقریباً کوئی ساڑھے بارہ سو روپیہ ہے تو اس حساب  سے مجھے بتا دیں تاکہ میں بارہ سو پچاس روپے میں چیزیں آسانی سے  کھا سکوں,LP,
train368,train368_S11_Sp021_M_L1_G2_A2,L_CP,
,میں اس وقت دھرم پورہ میں موجود ہوں تو مجھے کچھ بتائیں کھانے کے حوالے سے,L,
,دیکھیں میرا جو ابھی دل کر رہا ہے وہ فاسٹ فوڈ کھانے کو دل کر رہا ہے تو کوئی برگر ہو جائے اور جو میری میرے جیب میں تقریباً ساڑھے سات سو روپیہ ہے ,CP,
train369,train369_S11_Sp021_M_L1_G2_A2,L_CP,
,میں اس وقت بحریہ ٹاؤن فیز فائیو میں موجود ہوں ,L,
,میرا جو ہے اس وقت چائنیز سے میں جو ہے شاشلک چاولوں کے ساتھ کھانے کو دل کر رہا ہے رائس کے ساتھ اور  پرائس جو ہے وہ تقریبا پانچ سو روپے میرے پاس اس وقت پانچ سو روپے کے حساب سے بتا دیں,CP,
train371,train371_S12_Sp021_M_L1_G2_A2,P_CL,
,میرے پاس تقریباً ہزار روپیہ ہے اور گھر میں کافی سارے مہمان آگئے ہیں تو اس حساب سے مجھے بتا دیں کہ اس پرائس رینج میں کس طرح سے میں اپنے مہمانوں کو کھانا کھلا سکتا ہوں,P,
,میں اس وقت واپڈا ٹاؤن میں موجود ہوں اور دیسی کھانا ہو کڑاہی وغیرہ ہو ساتھ روٹی ہو سالاد ہو رائیتہ ہو تاکہ جو ہے سب ایزیلی آسانی سے کھانا کھا سکیں,CL,
train373,train373_S13_Sp021_M_L1_G2_A2,LCP,
,میں اس وقت لبرٹی کے قریب موجود ہوں اور میرا آج جو ہے وہ دیسی کھانا کھانے کا من کر ریا ہے اس لیے مجھے آپ بارہ سو روپے میری جیب میں ہیں تو آپ مجھے اس بارہ سو کے حساب سے کچھ دیسی کھانا.کڑاہی اور ملائی بوٹی تکے کباب اس طرح کی آئیٹم مجھے بتا دیں آپ,LCP,
train374,train374_S13_Sp021_M_L1_G2_A2,LCP,
,"میں اس وقت باغبان پورہ میں موجود ہوں اور آج میرا جو ہے وہ دل کر رہا ہے کہ میں فاسٹ فوڈ کھاؤں اور فاسٹ فوڈ میں میرا دل کر رہا ہے کہ میں کوئی برگر کھاؤں ، زنگر برگر شامی برگر بھی ہو اور جیب میں میرے اس وقت چار سو روپے ہیں تو مجھے کائنڈلی اس حساب سے بتا دیں آپ کہ میں اپنا پیٹ بھر کے کھانا کھا سکوں",LCP,
train375,train375_S12_Sp021_M_L1_G2_A2,P_CL,
,جی میرے پاس اس وقت جیب میں اٹھارہ سو روپے ہیں,P,
,جی میں ڈی ایچ اے سے کچھ باربی کیو ٹائپ کھانا پسند کروں گا جس میں جو ہے مجھے آپ کڑاہی ہو جائے اور ملائی بوٹی ہو جائے اور اسطرح کی بار بی کیو کی آئیٹمز ہو جائیں,CL,
train376,train376_S12_Sp021_M_L1_G2_A2,P_CL,
,جی میرے گھر آج کافی سارے مہمان آ گئے ہیں اور میرے پاس اٹھارہ سو روپیہ ہے تو کائنڈلی مجھے اس حساب سے کچھ بتا دیں,P,
,دیکھیں جی مہمان تو کافی زیادہ آگئے ہیں تو ان کو ایسا کچھ کھانا کھلانا ہے کہ ان کا پیٹ بھی بھر جائے اور کل کو شکایت بھی نہ کریں تو اس حساب سے آپ جو ہیں دیسی کھانا بتائیں جس میں کڑاہی ہو روٹیاں ہوں نان وغیرہ ہوں اور پرائس جو ہے وہ اور اس کی جو ڈی ایچ اے کے علاقے سے مجھے آپ بتائیں کہ ڈی ایچ اے میں ایسا جو ہے زبردست کھانا کہاں سے ملے گا,CL,
train378,train378_S7_Sp022_M_L1_G2_A3,LC_P,
,السلام علیکم میں گارڈن ٹاؤن سے بات کر رہا ہوں اور مجھے ناشتے کیلئے نان چنے مل جائیں گے,LC,
,زیادہ سے زیادہ چار سو روپے میں,P,
train379,train379_S7_Sp022_M_L1_G2_A3,LC_P,
,السلام علیکم جی میں فیصل ٹاؤن سے بات کر رہا ہوں اور مجھے دوپہر کے کھانے میں چکن کڑاہی مل جائے گی ,LC,
,مجھے زیادہ سے زیادہ بارہ سو روپے میں یہ مل جائے,P,
train380,train380_S10_Sp022_M_L1_G2_A3,C_LP,
,السلام علیکم جی میں اس وقت غازی روڈ سے بات کر رہا ہوں اور مجھے پانچ سو تک ناشتے میں کیا مل جائے گا,LP,
,نان چنے,C,
train381,train381_S8_Sp022_M_L1_G2_A3,LP_C,
,السلام علیکم جی میں اقبال ٹاؤن سے بات کر رہا ہوں اور ناشتے کیلئے مجھے کوئی تین سو روپے میں کیا مل جائے گا,LP,
,مجھے انڈا پراٹھا اور نان چنے کی ایک پلیٹ چاہیے,C,
train382,train382_S9_Sp022_M_L1_G2_A3,CP_L,
,السلام علیکم جی آپ کے پاس برگر ہوں گے چھ سو روپے تک ,CP,
,میں فیصل ٹاؤن سے,L,
train383,train383_S9_Sp022_M_L1_G2_A3,CP_L,
,السلام علیکم جی دہی بھلے مل جائیں گے آپ سے تین سو روپے تک ,CP,
,میں اس وقت ماڈل ٹاؤن سے بات کر رہا ہوں,L,
train384,train384_S10_Sp022_M_L1_G2_A3,C_LP,
,السلام علیکم جی  آپ کے پاس چائنیز چاول ہوں گے اس وقت,C,
,میں اقبال ٹاؤن سے بات کر رہا ہوں اور یہ چار سو روپے تک مجھے مل جائے,LP,
train385,train385_S10_Sp022_M_L1_G2_A3,C_LP,
,السلام و علیکم جی میں پیزا آرڈر کرنا چاہ رہا ہوں آپ کے پاس,C,
,میں جوہر ٹاؤن سے بات کر رہا ہوں اور ایک ہزار روپے تک یہ مجھے مل جائے,LP,
train386,train386_S11_Sp022_M_L1_G2_A3,L_CP,
,ا لسلام علیکم جی میں بحریہ ٹاؤن سے بات کر رہا ہوں,L,
,مجھے لنچ میں ایک چکن کڑاہی کوئی پندرہ سو روپے تک مل جائے,CP,
train387,train387_S11Sp022_M_L1_G2_A3,L_CP,
,السلام علیکم جی میں اس وقت جوہر ٹاؤن سے بات کررہا ہوں ,L,
,میں دال چاول کھانا پسند کروں گا اور دو سو روپے تک,CP,
train389,train389_S12_Sp022_M_L1_G2_A3,P_CL,
,السلام علیکم جی مجھے اس وقت کافی شدید بھوک لگی ہے تو پانچ سو روپے تک آپ مجھے کیا آرڈر کر سکتے ہیں,P,
,میں اس وقت دال چاول کھانا پسند کروں گا اور اس وقت میں گارڈن ٹاؤن میں ہوں,CL,
train390,train390_S12_Sp022_M_L1_G2_A3,P_CL,
,السلام علیکم جی چھ سو روپے تک آپ کے پاس کیا ہے,P,
,مجھے چکن قورمہ چاہیے اور میں اس وقت جوہر ٹاؤن میں ہوں,CL,
train391,train391_S13_Sp022_M_L1_G2_A3,LCP,
,السلام علیکم جی میں اس وقت ماڈل ٹاؤن  سے بات کر رہا ہوں اور مجھے لنچ کے لیے آپ سے ایک چکن کڑاہی آرڈر کرنی ہے جو ایک ہزار روپے تک ہو,LCP,
train393,train393_S13_Sp022_M_L1_G2_A3,LCP,
,السلام علیکم جی میں اس وقت بحریہ ٹاؤن سے بات کر رہا ہوں اور مجھے ایک پیزا آرڈر کرنا ہے ایک ہزار روپے تک,LCP,
train394,train394_S7_Sp023_M_L1_G2_A2,LC_P,
,علی پارک  بیدیاں روڈ سے بات کر رہا ہوں اور مجھے چائنیز کھانا ہے,LC,
,مناسب پرائس رینج میں,P,
train395,train395_S7_Sp023_M_L1_G2_A2,LC_P,
,جی میں علی پارک بیدیاں روڈ سے بات کر رہا ہوں اور ابھی کچھ چائنیز کھانے کا دل کر رہا ہے,LC,
,پرائس رینج تین سو سے چار سو کے بیچ میں ہو جائے,P,
train396,train396_S7_Sp023_M_L1_G2_A2,LC_P,
