Story Number,Output,intent ,Comments
,اس وقت میرے پاس آٹھ سو روپے موجود ہیں کیا مجھے اس رینج میں کوئی کھانا مل سکتا ہے.,,
,میں کوئی دیسی کھانا کھانا پسند کروں گا اور  مجھے  یو ای ٹی  کے  آس  پاس کوئی اچھا  کھانا مل جائے تو وہاں سے کھانا پسند کروں گا۔,,
train214,train214_S9_Sp005_M_L2_G2_A1,CP_L,
,اس وقت میرے پاس نائن ہنڈرڈ روپیز موجود ہیں اور میں کوئی چائنیز کھانا کھانا چاہتا ہوں.,,
,میں یو ای ٹی کے آس پاس جو اچھا کھانا اویلیبل ہے اس کو کھانا پسند کروں گا.,,
train215,train215_S12_Sp005_M_L2_G2_A1,P_CL,
,اس وقت میرے پاس آٹھ سو روپے موجود ہیں اور میں کھانا کھانا پسند کروں گا.,,
,میں کوئی برگر کھانا پسند کروں گا اور  شالامار کے آس پاس کوئی اچھا برگر اویلیبل ہو تو وہ کھانا پسند کروں گا.,,
train216,train216_S13_Sp005_M_L2_G2_A1,LCP,
,کیا آپ مجھے کوئی ایسا ریسٹورنٹ بتا سکتے ہیں گلبرگ کے ایریا کے اندر جہاں چائنیز کھانا تقریباً پندرہ سو کی رینج میں دستیاب ہو,,
train217,train217_S13_Sp005_M_L2_G2_A1,LCP,
,گلبرگ کے اندر میں نے کافی ریسٹورنٹس کا نام سنا ہے لیکن کیا مجھے آپ کوئی ایسا ریسٹورنٹ بتا سکتے ہیں جہاں چائنیز کھانا اور مناسب قیمت تقریباً ٹویلو ہنڈرڈ کے اندر دستیاب ہے.,,
train218,train218_S1_Sp006_M_L1_G1_A5,L_C_P,
,یہاں سب سے  بہترین ریسٹورنٹ کون سا ہے یو ای ٹی کے آس پاس,,
,میں چائنیز کھانا چاہتا ہوں,,
,میں مناسب قیمت میں کھانا چاہتا ہوں,,
train219,train219_S8_Sp006_M_L1_G1_A5,LP_C,
,میں یو ای ٹی کے آس پاس کوئی ریسٹورنٹ میں کھانا چاہتا ہوں ون ٹو فائیو تھاؤزنڈ کی رینج میں.,,
,میں فاسٹ فوڈ کھانا چاہوں گا,,
train221,train221_S2_Sp006_M_L1_G1_A5,P_C_L,
,مجھے بھوک لگی ہوئی ہے اور میرے پاس فائیو تھاؤزنڈ روپیز ہیں,,
,.فاسٹ فوڈ,,
,میں یو ای ٹی کے آس پاس کوئی اگر ریسٹورنٹ ہو وہاں سے کھانا چاہوں گا,,
train222,train222_S3_Sp006_M_L1_G1_A5,C_P_L,
,مجھے بھوک لگی ہوئی ہے اور میں بریانی کھانا چاہتا ہوں.,,
,میں مناسب رینج میں کھانا چاہتا.,,
,میں یو ای ٹی سے آرڈر کرنا چاہتا ,,
train223,train223_S7_Sp006_M_L1_G1_A5,LC_P,
,میں یو ای ٹی میں موجود ہوں اور میں بریانی آرڈر کرنا چاہتا ہوں.,,
,میں مناسب ریٹ میں آرڈر کرنا چاہتا ہوں,,
train224,train224_S7_Sp006_M_L1_G1_A5,LC_P,
,میں رحمان گارڈن میں ہوں اور میں پیزا آرڈر کرنا چاہتا ہوں.,,
,میں مہنگا پرائس آرڈر کرنا چاہتا ہوں.,,
train226,train226_S7_Sp006_M_L1_G1_A5,LC_P,
,میں الرحمن گارڈن میں موجود ہوں اور میں پیزا آرڈر کرنا چاہتا ہوں,,
,مناسب.,,
train227,train227_S8_Sp006_M_L1_G1_A5,LP_C,
,میں گلبرگ میں موجود ہوں اور میں سستا کھانا کھانا چاہتا ہوں کیا یہاں سستا کھانا موجود ہے,,
,دیسی,,
train228,train228_S7_Sp006_M_L1_G1_A5,LC_P,
,میں جوہر ٹاؤن میں موجود ہوں اور میں فاسٹ فوڈ آرڈر کرنا چاہتا ہوں کیا یہاں فاسٹ فوڈ آرڈر ملے گا,,
,میں مناسب آرڈر کرنا چاہتا ہوں,,
train230,train230_S8_Sp006_M_L1_G1_A5,LP_C,
,میں مال روڈ میں موجود ہوں اور میں ایک سستا سا کھانا کھانا چاہتا ہوں,,
,فاسٹ فوڈ,,
train231,train231_S9_Sp006_M_L1_G1_A5,CP_L,
,میں ایک اچھی پرائس میں پیزا آرڈر کرنا چاہتا ہوں.,,
,میں الرحمن گارڈن سے آرڈر کرنا چاہتا ہوں.,,
train233,train233_S9_Sp006_M_L1_G1_A5,CP_L,
,میں مناسب قیمت میں کڑاہی آرڈر کرنا چاہتا ہوں.,,
,میں جوہر ٹاؤن سے آرڈر کرنا چاہتا ہوں.,,
train234,train234_S10_Sp006_M_L1_G1_A5,C_LP,
,میں پانچ برگر آرڈر کرنا چاہتا ہوں.,,
,میں تاج باغ سے اور  تھری ہںڈرڈ رینج میں آرڈر کرنا چاہتا ہوں.,,
train235,train235_S10_Sp006_M_L1_G1_A5,C_LP,
,میں ایک کلو کڑاہی آرڈر کرنا چاہتا ہوں.,,
,میں فتح گڑھ سے اور فائیو ہنڈرڈ رینج میں آرڈر کرنا چاہتا ہوں.,,
train236,train236_S11_Sp006_M_L1_G1_A5,L_CP,
,میں یو ای ٹی لاہور میں موجود ہوں اور یہاں آس پاس کوئی ریسٹورنٹ موجود ہے.,,
,میں دیسی کھانا پسند کروں گا اور فائیو ہنڈرڈ کے اندر کھانا پسند ہے.,,
train237,train237_S7_Sp006_M_L1_G1_A5,LC_P,
,میں جوہر ٹاؤن میں موجود ہوں اور میں فاسٹ فوڈ آرڈر کرنا چاہتا ہوں.,,
,میں فور ہنڈرڈ رینج کے اندر آرڈر کرنا چاہتا ہوں.,,
train238,train238_S11_Sp006_M_L1_G1_A5,L_CP,
,میں دھرم پورہ میں موجود ہوں اور میں کھانا آرڈر کرنا چاہتا ہوں.,,
,میں دیسی آرڈر کرنا چاہتا ہوں اور تھاؤزنڈ رینج میں آرڈر کرنا چاہتا ہوں.,,
train239,train239_S12_Sp006_M_L1_G1_A5,P_CL,
,میرے پاس ہزار روپے ہیں اور مجھے بہت بھوک لگی ہوئی ہے اور میں آرڈر کرنا چاہتا ہوں.,,
,میں فاسٹ فوڈ  آرڈر کرنا چاہوں گا اور میں جوہر ٹاؤن سے آرڈر کرنا چاہوں گا.,,
train240,train240_S12_Sp006_M_L1_G1_A5,P_CL,
,میں کھانا کھانا چاہتا ہوں مجھے مناسب قیمت پر  کوئی کھانا بتائیں.,,
,میں فاسٹ فوڈ آرڈر  کرنا چاہوں گا اور میں لال پل سے آرڈر کرنا چاہوں گا,,
train242,train242_S13_Sp006_M_L1_G1_A5,LCP,
,میں پیراگون میں موجود ہوں اور میں مناسب قیمت پر برگر آرڈر کرنا چاہتا ہوں.,,
train243,train243_S13_Sp006_M_L1_G1_A5,LCP,
,میں جلو میں موجود ہوں اور میں بریانی آرڈر کرنا چاہتا ہوں مناسب قیمت پر,,
train244,train244_S7_Sp014_F_L1_G1_A1,LC_P,
,السلام و علیکم میں مغلپورہ سے بات کر رہی ہوں تو یہ صبح کا ٹائم تو مجھے کڑی چاول کھانے ہیں,,
,مجھے مناسب سی پرائس میں کچھ چاہیے,,
train245,train245_S7_Sp014_F_L1_G1_A1,LC_P,
,ہیلو میں شالامار سے بات کر رہی ہوں اور مجھے چائنیز کھانا کھانا ہے.,,
,مجھے سستا  سا کھانا کھانا ہے.,,
train246,train246_S8_Sp014_F_L1_G1_A1,LP_C,
,میں باغبان پورہ سے بات کر رہی ہوں مجھے کوئی میرے پاس پانچ سو روپے ہیں مجھے کوئی سستا سا کھانا کھانا ہے.,,
,میں دیسی کھانا کھانا پسند کروں.,,
train247,train247_S8_Sp014_F_L1_G1_A1,LP_C,
,اچھا میں باغبان پورہ سے بات کر رہی ہوں یہاں پر مجھے کسی ریسٹورنٹ  کا نہیں پتہ آپ مجھے کوئی سستے سے ریسٹورنٹ کا بتا سکتے ہیں.,,
,میں فاسٹ فوڈ کھانا پسند کروں گی.,,
train248,train248_S9_Sp014_F_L1_G1_A1,CP_L,
,السلام و علیکم مجھے بھوک لگی ہے میں برگر کھانا چاہتی ہوں جو کہ سستا سا  ہو اور تقریبا پانچ سو تک  ,,
,میں جلو موڑ میں رہ رہی ہوں,,
train249,train249_S9_Sp014_F_L1_G1_A1,CP_L,
,میں مناسب سی پرائس میں فاسٹ فوڈ کھانا چاہتی ہوں.,,
,میں لاہور کینٹ سے بات کر رہی ہوں۔,,
train250,train250_S10_Sp014_F_L1_G1_A1,C_LP,
,السلام علیکم میں ساگ کھانا چاہتی ہوں یہاں کہیں ملے گا. ,,
,میں مغلپورہ سے سستا سا کھانا کھانا چاہتی ہوں۔,,
train251,train251_S10_Sp014_F_L1_G1_A1,C_LP,
,ہیلو میں چکن کڑاہی کھانا چاہتی ہوں.,,
,میں مناسب سی رینج میں نئے پل سے کھانا چاہتی ہوں,,
train252,train252_S10_Sp014_F_L1_G1_A1,C_LP,
,السلام و علیکم میں چکن کڑاہی کھانا چاہتی ہوں.,,
,میں مناسب سی رینج میں مغلپورہ نئے پل سے کھانا چاہتی ہوں.,,
train253,train253_S11_Sp014_F_L1_G1_A1,L_CP,
,السلام علیکم میں لاہور جوہر ٹاؤن سے بات کر رہی ہوں,,
,میں کسی اچھی سی پرائس میں شوارما کھانا چاہتی.,,
train254,train254_S11_Sp014_F_L1_G1_A1,L_CP,
,السلام علیکم میں اقبال ٹاؤن سے بات کر رہی ہوں ہمارے گھر مہمان آئے میں نے کھانا آرڈر کرنا ہے۔,,
,میں کوئی اچھی سی پرائس میں شوارما آرڈر  کرنا چاہتی ہوں,,
train255,train255_S12_Sp014_F_L1_G1_A1,P_CL,
,السلام علیکم میں نے اپنے دوستوں کو ٹریٹ دینی ہے مجھے کوئی سستی سی رینج میں کوئی ریسٹورنٹ بتائیں.,,
,میں مغلپورہ سے چنا چاٹ آرڈر کرنا چاہتی ہوں.,,
train256,train256_S13_Sp014_F_L1_G1_A1,LCP,
,السلام علیکم میں لاہور مغلپورہ سے بات کر رہی ہوں مجھے کوئی سستی سی رینج میں شوارما آرڈر کرنا ہے.,,
train257,train257_S13_Sp014_F_L1_G1_A1,LCP,
,السلام علیکم میں لاہور مغلپورہ سے بات کر رہی ہوں مجھے کوئی سستی سی رینج میں شوارما آرڈر کرنا ہے.,,
train259,train259_S7_Sp015_M_L1_G1_A5,LC_P,
,السلام و  علیکم میں جوہر ٹاؤن سے بات کر رہا ہوں مجھے کچھ دیسی آرڈر کرنا ہے .,,
,پانچ سو کی رینج میں.,,
train260,train260_S7_Sp015_M_L1_G1_A5,LC_P,
,السلام علیکم میں فیصل ٹاؤن سے بات کر رہا ہوں مجھے دہی بھلے آرڈر کرنے ہیں .,,
,مناسب.,,
train261,train261_S8_Sp015_M_L1_G1_A5,LP_C,
,السلام و علیکم میں لاہور لیڈ سے بات کر رہا ہوں میرے پاس پانچ سو  ہیں  اس پرائس رینج میں کوئی مجھے کھانا مل سکتا ہے .,,
,فاسٹ فوڈ ہو,,
train262,train262_S8_Sp015_M_L1_G1_A5,LP_C,
,السلام و علیکم میں لاہور لیڈ یونیورسٹی سے بات کر رہا ہوں میرے پاس صرف پانچ سو ہیں مجھے کچھ آرڈر کرنا ہے کیا اس  پرائس میں مجھے کچھ مل سکتا ہے .,,
,میں اس رینج میں دیسی کھانا پسند کروں گا.,,
train263,train263_S8_Sp015_M_L1_G1_A5,LP_C,
,السلام علیکم میں لاہور یو ای ٹی سے بات کر رہا ہوں مجھے دو سو پرائس میں کوئی اچھا سا کھانا مل سکتا ہے.,,
,فاسٹ فوڈ.,,
train264,train264_S9_Sp015_M_L1_G1_A5,CP_L,
,السلام و علیکم میں بریانی کھانا چاہتا ہوں  میرے  پاس بارہ  سو  روپے ہیں کیا اس  میں مجھے مل سکتی ہے اس پرائس میں بریانی.,,
,جوہر ٹاؤن سے.,,
train265,train265_S9_Sp015_M_L1_G1_A5,CP_L,
,السلام علیکم میں کچھ فاسٹ فوڈ میں کچھ کھانا چاہتا ہوں میرے پاس بارہ سو روپے ہیں ٹوٹل. ,,
,مغلپورہ سے,,
train266,train266_S9_Sp015_M_L1_G1_A5,CP_L,
,السلام و علیکم  میں چکن کڑاہی کھانا چاہتا ہوں میرے پاس ٹوٹل پانچ سو  روپے ہیں اس رینج میں مل سکتی ہے ,,
,لاہور لیڈ یونیورسٹی سے,,
train267,train267_S13_Sp015_M_L1_G1_A5,LCP,
, السلام و علیکم کیا آپ کے پاس کھانے میں پالک گوشت اویلیبل ہے. میں یہ کھانا مغلپورہ سے آرڈر کرنا چاہ رہا ہوں اور میرے پاس ٹوٹل پانچ سو روپے ہیں,,
train268,train268_S10_Sp015_M_L1_G1_A5,C_LP,
,السلام و  علیکم میں کڑی چاول آرڈر کرنا چا رہا ہوں ,,
,میں کنال روڈ سے آرڈر کرنا چاہ رہا ہوں اور میرے پاس ٹوٹل دو سو روپے ہیں,,
train269,train269_S10_Sp015_M_L1_G1_A5,C_LP,
,السلام و  علیکم میں کڑی چاول آرڈر کرنا چاہ رہا ہوں ,,
,میں یہ کھانا ٹھوکر نیاز بیگ کنال روڈ سے آرڈر کرنا چاہ رہا ہوں اور میری پرائس رینج ہے دو سو روپے,,
train271,train271_S11_Sp015_M_L1_G1_A5,L_CP,
," السلام و علیکم میں ٹھوکر نیاز بیگ پہ ہوں ، مجھے بہت بھوک لگی ہے اس لوکیشن میں کچھ کھانا ملے گا.",,
,میں چائنیز فوڈ آرڈر کرنا چاہوں گا اور میری پرائس رینج میں آٹھ سو روپیہ.,,
train272,train272_S11_Sp015_M_L1_G1_A5,L_CP,
,السلام و علیکم میں فیصل ٹاؤن کی لوکیشن پہ ہوں اور مجھے بہت بھوک لگی مجھے کھانے میں کیا ملے گا.,,
,میں دیسی کھانا چاہوں گا اور میرے پاس پرائس رینج ہے نو سو روپیہ,,
train274,train274_S12_Sp015_M_L1_G1_A5,P_CL,
,السلام و علیکم  میرے پاس پانچ سو روپے ہیں اس پرائس میں مجھے کچھ کھانا ملے گا ناشتے کا ٹائم ہے.,,
,میں فیصل ٹاؤن سے آرڈر  کرنا چاہ رہا ہوں اور مجھے دیسی کچھ چاہیے.,,
train275,train275_S13_Sp015_M_L1_G1_A5,LCP,
,السلام و علیکم  میں مون مارکیٹ سے بات کر رہا ہوں مجھے کچھ دیسی آرڈر کرنا ہے میرے پاس اس وقت پانچ سو روپے ہیں,,
train276,train276_S13_Sp015_M_L1_G1_A5,LCP,
,السلام و علیکم میں اس وقت یو ای ٹی میں ہوں اور مجھے بہت بھوک لگی ہے مجھے کوئی دیسی آرڈر کرنا ہے آٹھ سو کی رینج میں,,
train277,train277-S7_Sp016_M_L1_G1_A3,LC_P,
,السلام علیکم میں یو ای ٹی میں بیٹھا ہوا ہوں اور مجھے بہت سخت بھوک لگی  ہوِئی ہے اور میں برگر کھانا چاہتا ہوں.,,
,میں پانچ ہزار کی رینج میں کھانا چاہتا ہوں.,,
train278,train278_S7_Sp016_M_L1_G1_A3,LC_P,
,السلام علیکم میں یہاں پہ اس ٹائم ٹھوکر پہ ہوں اور مجھے بہت سخت بھوک لگی ہوئی ہے اور میں شوارما کھانا  چاہتا ہوں. ,,
,سستا بہت سستا تقریباً پانچ سو سے ہزار کی رینج.,,
train279,train279_S7_Sp016_M_L1_G1_A3,LC_P,
,السلام علیکم میں اس ٹائم ٹھوکر نیاز بیگ پہ ہوں اور مجھے بہت سخت بھوک لگی ہوئی ہے اور میں اس ٹائم شوارما کھانا چاہتا ہوں.,,
,میں ہنڈرڈ سے ٹو ہںڈرڈ کی رینج میں کھانا چاہتا ہوں.,,
train280,train280_S8_Sp016_M_L1_G1_A3,LP_C,
,السلام علیکم میں اس ٹائم جوہر ٹاؤن میں ہوں اور میرے پاس پانچ سو سے ہزار روپے کے درمیان پیسے ہیں تو اس رینج میں میں کچھ چیز آرڈر کرنا چاہ رہا ہوں.,,
,کوئی دیسی.,,
 train281,train281_S8_Sp016_M_L1_G1_A3,LP_C,
,السلام علیکم میں اس ٹائم ماڈل ٹاؤن میں ہوں اور مجھے اس ٹائم بہت سخت بھوک لگی ہوئی ہے اور میرے پاس پیسے پانچ سو سے ہزار کے درمیان ہیں تو میں کچھ آرڈر کرنا چاہ رہا ہوں.,,
,میں دیسی پسند کرتا ہوں تو دیسی ہی آرڈر  کرنا چاہوں گا.,,
train282,train282_S9_Sp016_M_L1_G1_A3,CP_L,
,جی یہ ڈنر ٹائم ہے اور مجھے بہت بھوک لگی ہے تو مجھے چائنیز کھانا ہے اور میری جو پرائس ہے وہ اس ٹائم میرے پاس دو ہزار سو کے درمیان ہے.,,
,"لاہور میں میں جوہر ٹاؤن ، ماڈل ٹاؤن جو اردگرد میرے علاقے میں اس سے کھانا پسند کروں.",,
train283,train283_S9_Sp016_M_L1_G1_A3,CP_L,
,جی یہ لنچ ٹائم ہے اور مجھے شدید بھوک لگی ہے تو میں اس ٹائم جو ہے میں کچھ دیسی کھانا چاہ رہا ہوں اور میری جو رینج ہے وہ تقریبا تھری تھاؤزنڈ سے فور تھاؤزنڈ ہے.,,
,میں  اس ٹائم  مغلپورہ  میں دھرم پورہ کے قریب ہوں تو ادھر کھانا پسند کروں گا.,,
train284,train284_S10_Sp016_M_L1_G1_A3,C_LP,
,جی مجھے بہت بھوک لگی ہوئی ہے اور میں کچھ فاسٹ فوڈ کھانا چاہ رہا ہوں۔,,
,میں یہاں سے فی الحال جو ہے کنال  ویو سے بات کر رہا ہوں اور میں وہاں سے کھانا پسند کروں گا اور میری جو رینج ہے وہ کم از کم  تھاؤزنڈ سے ٹو تھاؤزنڈ  ہے.,,
train285,train285_S10_Sp016_M_L1_G1_A3,C_LP,
,جی مجھے بھوک لگی  ہوئی ہے اور میں کچھ دیسی کھانا چاہ رہا ہوں,,
,میں ریلوے اسٹیشن سے ہوں اور جو ہے میری رینج پرائس جو ہے وہ ٹو تھاؤزنڈ سے تھری تھاؤزنڈ  ہے.,,
train286,train286_S11_Sp016_M_L1_G1_A3,L_CP,
,جی میں ماڈل ٹاؤن سے بات کر رہا ہوں اور مجھے بھوک لگی ہوئی  ہے کیا  کچھ کھانے کو مل سکتا ہے.,,
,میں چائنیز کھانا چاہ رہا ہوں جس میں میری جو رینج پرائس  ہے وہ فور تھاؤزنڈ ہے.,,
train287,train287_S11_Sp016_M_L1_G1_A3,L_CP,
,جی میں دھرم پورہ سے بات کر رہا ہوں اور مجھے بہت سخت بھوک لگی ہے کیا کچھ کھانے کو مل سکتا ہے ,,
,جی میں دیسی فوڈ کھانا چاہ رہا ہوں اور جو میری رینج پرائس ہے وہ ون تھاؤزنڈ روپیز ہے.,,
train289,train289_S12_Sp016_M_L1_G1_A3,P_CL,
,جی میرے پاس پانچ سو روپے ہیں کیا اس میں کچھ کھانے کو مل سکتا ہے.,,
,جی میں کچھ فاسٹ فوڈ کھانا پسند کروں گا اور اس ٹائم میں جو ہوں میں دھرم پورہ سے بات کر رہا ہوں.,,
train290,train290_S12_Sp016_M_L1_G1_A3,P_CL,
,میرے پاس اتنے پیسے نہیں ہیں مناسب سے ہیں کیا آپ مجھے بتا سکتے ہیں  کوئی اچھا کھانے کے لیے.,,
,فاسٹ فوڈ ہی ہے اور میں جو اس ٹائم ہوں میں سوزو کے پاس ہوں.,,
train291,train291_S13_Sp016_M_L1_G1_A3,LCP,
,جی میں اس ٹائم جو ہے جوہر ٹاؤن سے بات کر رہا ہوں اور مجھے اس ٹائم بہت بھوک لگی میں فاسٹ فوڈ کھانا چاہ رہا ہوں جس کی پرائس جو ہے میرے پاس فائیو ہنڈرڈ سے تھاؤزنڈ روپیز ہے.,,
train292,train292_S13_Sp016_M_L1_G1_A3,LCP,
,جی میں اس ٹائم جو ہے میں ماڈل ٹاؤن میں ہوں اور جو ہے مجھے بہت سخت بھوک لگی  ہوئی ہے اور میں کچھ چائنیز کھانا چاہ رہا  ہوں اور میری پرائس جو ہے وہ فائیو تھاؤزنڈ روپیز ہے.,,
