story number,output,intent,comments
,السلام و علیکم  میں کھانا آرڈر کرنا چاہ رہی ہوں مناسب پرائس رینج میں,P,
,میں دیسی کھانا آرڈر کرنا پسںد کروں گی اور میں اقبال ٹاؤن سے آرڈر کرنا چاہتی ہوں,CL,
tarin425,tarin425_S12_Sp024_F_L1_G1_A3,P_CL,
,منا سب پرائس رینج میں کچھ آرڈر کرنا چاہ رہی ہوں,P,
,میں دیسی فوڈ آرڈر کرنا  پسند کروں گی گلشن لاہور سے,CL,
train426,train426_S13_Sp024_F_L1_G1_A3,LCP,
,السلام و علیکم  میں گلشن راوی سے  آملیٹ آرڈر کرنا چاہ رہی ہوں اور میری پرائس رینج ہزار کے قریب ہے,LCP,
train427,train427_S13_Sp024_F_L1_G1_A3,LCP,
,السلام و علیکم میں سمن آباد سے دیسی فوڈ آرڈر کرنا چاہ رہی ہوں اور میری پرائس رینج مہنگی ہے,LCP,
train428,train428_S7_Sp025_F_L1_G2_A3,LC_P,
,السلام و علیکم.,G,
,مجھے اقبال ٹاؤن میں برگر  ڈلیور کر وانا ہے.,LC,
,مجھے تقریباً جو ہے مناسب رینج میں  یہ چاہیے. تھاؤزںڈ  ,P,
train429,train429_S8_Sp025_F_L1_G2_A3,LP_C,
,السلام و علیکم.میں سمن آباد سے بات کر رہی ہوں اور مجھے  فائیو ہنڈرڈ  کی پرائس رینج میں کچھ کھانے کے لیے چاہیے.,LP,
,دیسی کھانا.,C,
train430,train430_S8_Sp025_F_L1_G2_A3,LP_C,
,میں دھرمپورہ سے بات کر رہی ہوں مجھے کسی سستے سی رینج میں کچھ کھانے کے لیے چاہیے.,LP,
,میں فاسٹ فوڈ.,C,
train431,train431_S9_Sp025_F_L1_G2_A3,CP_L,
,مجھے برگر چاہیے تھاؤزنڈ کی رینج میں ڈیل.,CP,
,میں فیصل ٹاؤن سے,L,
train432,train432_S9_Sp025_F_L1_G2_A3,CP_L,
,مجھے دیسی کھانا چاہیے تقریباً  فیفٹین ہنڈرڈ کی رینج میں.,CP,
,میں ماڈل ٹاؤن میں.,L,
train433,train433_S10_Sp025_F_L1_G2_A3,C_LP,
,مجھے دیسی کھانا آرڈر کرنا ہے.,C,
,میں بحریہ ٹاؤن میں یہ  ڈلیور کروانا چاہوں گی اور اس کی پرائس رینج تقریباً  فائیو ہنڈرڈ کے راؤنڈ اباؤٹ ہو.,LP,
train434,train434_S10_Sp025_F_L1_G2_A3,C_LP,
,مجھے چائنیز کھانا آرڈر کرنا ہے ,C,
,میں ای ایم ای میں ڈلیور  کروانا چاہتی ہوں اور پرائس رینج تقریباً میری فور ہنڈرڈ اور فائیو ہنڈرڈ کے راؤنڈ اباؤٹ ہے.,LP,
train435,train435_S11_Sp025_F_L1_G2_A3,L_CP,
,میں بحریہ سے بات کر رہی ہوں.,L,
,مجھے فاسٹ فوڈ کھانا ہے اور پرائس رینج میری سکس ہںڈرڈ ہے.,CP,
train436,train436_S11_Sp025_F_L1_G2_A3,L_CP,
,میں ڈی ایچ اے فیز سکس سے بات کر رہی ہوں.,L,
,مجھے چائنیز کھانا ہے اور میری پرائس جو ہے وہ ایٹ ہنڈرڈ ہے یا تھاؤزنڈ ہے.,CP,
train437,train437_S12_Sp025_F_L1_G2_A3,P_CL,
,میری رینج ٹو تھاؤزنڈ ہے.,P,
,"میں اس رینج میں دیسی کھانا آرڈر کرنا چاہوں گی جس میں کڑاہی آ جاتی ہے اور ساتھ بوٹلز اور نان بھی آ جاتے ہیں  اور اس کے علاوہ یہ میں جو ہے ، سمن آباد میں ڈیلیور کروانا چاہتی ہوں.",CL,
train438,train438_S12_Sp025_F_L1_G2_A3,P_CL,
,ٹو تھاؤزنڈ کے راؤنڈ اباؤٹ مجھے ڈیلیور کروا نا ہے.,P,
,مجھے کڑاہی کھانی ہے ود نان ایںڈ بوٹلز اور  میری لوکیشن جو ہے وہ ہے ڈی ایچ اے فیز  ایٹ.,CL,
train439,train439_S12_Sp025_F_L1_G2_A3,P_CL,
,مجھے ٹو تھاوزنڈ کے راؤنڈ اباؤٹ ڈلیور کر وانا ہے فوڈ.,P,
,میں کڑاہی آرڈر کرنا چاہتی ہوں اور لاہور میں میں باغبان پورہ سے یہ ڈلیور  کروانا چاہتی ہوں.,CL,
train440,train440_S13_Sp025_F_L1_G2_A3,LCP,
,مجھے پاستا آرڈر کر نا بحریہ ٹاؤن میں اور میری پرائس رینج ہے سکس ٹو سیون ہنڈرڈ.,LCP,
train441,train441_S13_Sp025_F_L1_G2_A3,LCP,
,میں دھرم پور سے بات کر رہی ہوں اور مجھے شوارما آرڈر کروانا ہے اور میری پرائس رینج ون ففٹی ہے.,LCP,
