Story Number,Output,intent ,Comments
,السلام و علیکم. دیکھیں میں کھانا کھانا چاہتی ہوں اور جو پانچ سو کی رینج سے زیادہ نہ ہو اور میں فاسٹ فوڈ لینا چاہتی ہوں.,,
,میں فیز  فائیو سے ڈیفنس سے بات کر رہی ہوں۔,,
train036,train036_S9_SP003_F_L1_G1_A5,CP_L,
,السلام و علیکم,,
,دیکھیں میں کچھ کھانا چاہتی ہوں کوئی دیسی قسم کا لائٹلی ہو ٹھیک ہے.اور میرے پاس صرف 500 روپے ہیں.اور اس میں آپ مجھے بہترین سا  فوڈ بتائیں.,,
,میں ڈیفنس فیز  فائیو میں منگوانا چاہوں گی.,,
train040,train040_S11_SP003_F_L1_G1_A5,L_CP,
,السلام و علیکم,,
,جی میں ڈیفنس سے فیز فائیو سے بات کر رہی ہوں.,,
,جی میں دیسی کھانا کھانا چاہتی ہوں بہت لائٹ سا اور سموتھ  سا ہو.اور اس کی رینج  فائیو تھاؤزنڈ تک ہو.,,
train041,train041_S13_SP003_F_L1_G1_A5,LCP,
,السلام و علیکم,,
,جی میں لاہور اچھرہ میں کھڑی ہوں۔  میرے پاس پانچ سو روپے ہیں۔اور میں کوئی دیسی اچھا سا فوڈ کھانا چاہتی ہوں مجھے بہت زیادہ بھوک لگی ہوئی ہے۔,,
train042,train042-S12_SP003_F_L1_G1_A5,P_CL,
,السلام و علیکم,,
,جی میرے پاس پانچ سو روپے ہیں.,,
,میں لاہور اچھرہ میں جی ٹی روڈ پر کھڑی ہوں اور مجھے بہت زیادہ بھوک لگی ہے اور کچھ دیسی اسپائسی سا کھانا چاہتی ہوں.,,
train043,train043_S8_SP003_F_L1_G1_A5,LP_C,
,السلام و علیکم,,
,جی میرے پاس پانچ سو روپے ہیں. اور میں لاہور اچھرہ میں کھڑی ہوں ٹھیک ہے ادھر نزدیک کون سا ایسا ریسٹورنٹ ہے جہاں  مجھے پانچ سو روپے کی قیمت میں کچھ اچھا کھانے کو ملے گا یا کوئی اچھا ریسٹورنٹ پاس ہے ۔ ,,
,جی میں چائنیز کھانا چاہتی ہوں ,,
train045,train045_S13_SP003_F_L1_G1_A5,LCP,
,السلام و علیکم,,
,جی میرے پاس پانچ سو روپے ہیں میں لاہور اچھرہ میں کھڑی ہوں ٹھیک ہے مجھے کچھ دیسی سا فوڈ اچھا سا پانچ سو روپے کی رینج میں چاہیے.,,
train046,train046_S9_SP003_F_L1_G1_A5,CP_L,
,السلام  و علیکم,,
,جی میں لاہور سے بات کر رہی ہوں ٹھیک ہے مجھے پانچ سو.پانچ سو کی رینج میں کوئی فاسٹ فوڈ چاہیے.اور مجھے پرووائیڈ ہو سکتا پانچ سو کی رینج میں.,,
,میں لاہور میں. میں لاہور میں دربار کے پاس داتا دربار کے پاس سے  کھانا کھانا چاہتی ہوں.,,
train047,train047_S1_Sp004_M_L1_G1_A3,L_C_P,
,السلام علیکم میں کلمہ چوک پر ہوں ۔مجھے اس وقت بہت بھوک لگی ہے اور میں کھاناکھاناچاہتا ہوں۔,,
,میں برگر کھانا چاہتا ہوں۔,,
,مناسب ہی ہوں.,,
train048,train048_S7_Sp004_M_L1_G1_A3,LC_P,
,جناب میں جوہر ٹاؤن کھڑا ہوں اور مجھے اس وقت بہت بھوک لگی ہے اور مجھے دہی بھلے کھانے ہیں۔,,
,تین سو سے چار سو کے درمیان۔,,
train049,train049_S8_Sp004_M_L1_G1_A3,LP_C,
,میں اس وقت گارڈن ٹاؤن میں ہوں اور میں میری جیب میں اس وقت 600 روپے ہیں میں کھانا کھانا چاہتا ہوں مجھے بہت بھوک لگی.,,
,میں بریانی کھانا چاہتا ہوں۔,,
train050,train050_S13_Sp004_M_L1_G1_A3,LCP,
,ہاۓجناب میں اس وقت ماڈل ٹاؤن میں ہوں اور میں برگر کھانا چاہتا ہوں اور میرے پاس تین سو روپے ہیں۔,,
train051,train051_S8_Sp004_M_L1_G1_A3,LP_C,
,السلام و علیکم جناب مجھے بہت بھوک لگ گئی ہے اور میرےاے ٹی ایم میں نا اس وقت بارہ سو ہیں. اور میں کھانا کھانا چاہتا ہوں اس وقت میں ماڈل ٹاؤن میں موجود ہوں,,
,میں پیزا کھانا چاہتا ہوں,,
train052,train052_S9_Sp004_M_L1_G1_A3,CP_L,
,میں اس وقت جو ہے وہ بریانی کھانا چاہتا ہوں اور جس کی پرائس تقریباً پانچ سو کا رینج ہو.,,
,میں ماڈل ٹاؤن سے کھانا  چاہتا ہوں,,
train053,train053_S9_Sp004_M_L1_G1_A3,CP_L,
,السلام علیکم مجھے اس وقت بہت بھوک لگی ہے مجھے بریانی کھانی ہے اور میرے پاس تقریباً تین سو روپے ہیں. ,,
,میں ٹاؤن شپ سے کھانا چاہتا ہوں.,,
train055,train055_S10_Sp004_M_L1_G1_A3,C_LP,
,مجھے اس وقت بہت زیادہ ہی بھوک لگی ہوئی ہے ا ور میں جو ہے وہ پیزا کھانا چاہتا ہوں.,,
,میں تھوڑی دیر ٹاؤن شپ میں ہوں اور مجھے تقریباً ون تھاؤزنڈ کی رینج تک پیزا جو ہےنا وہ ملنا چاہیے.,,
train056,train056_S10_Sp004_M_L1_G1_A3,C_LP,
,السلام و علیکم میں اس وقت جو ہے نا مجھے بہت زیادہ ہی بھوک لگی ہوئی ہے اور مجھے برگر کھانا ہے.,,
,میں اس وقت والٹن میں ہوں اور میرے پاس جو ہیں وہ آٹھ سو روپے ہیں۔,,
train057,train057_S10_Sp004_M_L1_G1_A3,C_LP,
,السلام و علیکم مجھے اس وقت بہت زیادہ ہی بھوک لگی ہوئی ہے اور میں برگر کھانا چاہتا ہوں.,,
,میں اس وقت جو ہوں وہ ماڈل ٹاؤن میں ہوں .اور میرے پاس ہزار روپے  ہیں کیا آپ مجھے بتا سکتی ہیں کہ میں یہ کہاں سے کھا سکتا ہوں.,,
train058,train058_S11_Sp004_M_L1_G1_A3,L_CP,
,میں اس وقت اسکیم موڑ میں ہوں  اور مجھے بہت ہی زیادہ بھوک لگی ہوئی ہے۔,,
, میں بریانی کھانا پسند کروں گا جس کی پرائس تین سو روپے ہونی چاہیِے۔,,
train059,train059_S11_Sp004_M_L1_G1_A3,L_CP,
,"السلام و علیکم مجھے اس وقت بہت زیادہ بھوک لگی ہوئی ہے اور میں مسلم ٹاؤن میں ہوں ، کیا آپ مجھے بتا سکتی ہیں  کہ یہاں پہ کوئی قریب کوئی ریسٹورنٹ ہے.",,
,میں دہی بھلے کھانا چاہوں گا جس کی پرائس دو سو روپے ہونی چاہیے,,
train060,train060_S12_Sp004_M_L1_G1_A3,P_CL,
,السلام و علیکم میرے پاس اس وقت جو ہیں وہ پانچ سو روپے ہیں.اور مجھے بہت ہی زیادہ بھوک لگی ہے کیا آپ  مجھے بتا سکتی ہیں کہ میں کہاں سےکھا سکتا ہوں ,,
,میں اس وقت مسلم ٹاؤن میں ہوں اور میں بریانی کھانا پسند کروں گا.,,
train061,train061_S13_Sp004_M_L1_G1_A3,LCP,
,السلام و علیکم مجھے نارمل پرائس رینج میں کوئی کھانا بتا دیں مجھے اس وقت بہت زیادہ بھوک لگی ہے .میں اس وقت ٹھوکر نیاز بیگ پہ ہوں اور مجھے بریانی بہت پسند ہے اور مجھے کوئی اچھا سا ریسٹورنٹ سجیسٹ کریں جہاں سے میں کھا سکوں۔ ,,
train062,train062_S13_Sp004_M_L1_G1_A3,LCP,
,السلام و علیکم مجھے اس وقت بہت ہی زیادہ بھوک لگی ہے میرے پاس پانچ سو روپے ہیں. اور میں اس وقت جو جوہر ٹاؤن میں اور مجھے برگر کھانا ہے کیا آپ مجھے بتا سکتے ہیں کہ میں کہاں سے اچھا سا برگر کھا سکتا ہوں۔,,
train063,train063_S13_Sp004_M_L1_G1_A3,LCP,
,السلام و علیکم مجھے اس وقت بہت ہی زیادہ بھوک لگی ہے اور میں اس وقت جو ہو ں ٹھوکر نیاز بیگ پہ ہوں اور میرے پاس تقریباً سات سو روپے ہیں کیا آپ مجھے بتا سکتے ہیں کہ کہاں سے اچھی بریانی مل سکتی ہے.,,
train064,train064_S1_Sp007_F_L1_G1_A3,L_C_P,
,السلام علیکم   ,,
,اچھا جی میں یو ای ٹی سے بات کر رہی ہوں تو مجھے بہت بھوک لگی ہے تو میں کچھ آرڈر کرنا چاہ رہی تھی,,
,میں فاسٹ فوڈ لائک کرتی ہوں,,
,میرے پاس فی الحال فائیو ہنڈرڈ روپیز ہیں,,
train066,train066_S7_Sp007_F_L1_G1_A3,LC_P,
,ہیلو,,
,جی میں  ٹاؤن شپ سے بات کر رہی ہوں اور میں چائنیز فوڈ آرڈر کرنا چاہتی ہوں ,,
,میں مناسب کیونکہ میرے پاس اس وقت فائیو ہنڈرڈ سے تھاؤزنڈ روپیز ہیں ,,
tain067,train067_S7_Sp007_F_L1_G1_A3,LC_P,
,ہیلو,,
,میم میں لنک روڈ سے بات کر رہی ہوں لاہور اور میں اپنے لیے فاسٹ فوڈ آرڈر کرنا چاہتی ہوں,,
,مہنگا کیونکہ میرے پاس جو پرائس رینج ہے وہ ٹو تھاؤزنڈ تک ہے,,
train068,train068_S8_Sp007_F_L1_G1_A3,LP_C,
,ہائے,,
,میں ڈی ایچ اے سے بات کر رہی ہوں اور مجھے بہت زیادہ بھوک لگی ہے  میری پرائس رینج جو ہے وہ جسٹ ون تھاؤزنڈ ہے,,
,میں چائنیز  ,,
train069,train069_S8_Sp007_F_L1_G1_A3,LP_C,
,ہیلو,,
,میں ٹاؤن شپ سے بات کر رہی ہوں میری پرائس رینج جو ہے وہ جسٹ فائیو ہنڈرڈ ٹو ون تھاؤزنڈ ہے اور مجھے بہت بھوک لگی ہے ,,
,دیسی دیسی کھانا,,
train070,train070_S9_Sp007_F_L1_G1_A3,CP_L,
,میں چائنیز کھانا چاہتی ہوں اور میری فوڈ کی لائک پرائس رینج جو ہے وہ جسٹ ون تھاؤزنڈ ہے ,,
,میں ڈی ایچ اے سے,,
train071,train071_S12_Sp007_F_L1_G1_A3,P_CL,
,مجھے بہت بھوک لگی ہے اور میں اپنے لیے ون تھاؤزنڈ کی رینج میں کچھ آرڈر  کرنا چاہتی ہوں ,,
,میں لنک روڈ سے لنک روڈ سے چائنیز,,
train072,train072_S9_Sp007_F_L1_G1_A3,CP_L,
,اچھا جی مجھے بہت بھوک لگی ہے اور میں چائنیز کھانا چاہتی ہوں اور میری پرائس رینج جو ہے وہ جسٹ ون تھاؤزنڈ ہے ,,
,میں یہ کھانا لنک روڈ سے آرڈر کرنا پسند کروں گی ,,
train073,train073_S10_Sp007_F_L1_G1_A3,C-LP,
,ہیلو,,
,میں چائنیز کھانا چاہتی ہوں ,,
,میں مناسب کھانا پسند کروں گی اور اگر لنک روڈ سے ہو جائے تو بہت اچھا ہو گا,,
train074,train074_S10_Sp007_F_L1_G1_A3,C_LP,
,السلام علیکم,,
,میں دیسی کھانا کھانا چاہتی ہوں ,,
,میں مہنگا کھانا پسند کروں گی اور میں یہ ڈی ایچ اے سے منگوانا پسند کروں گی ,,
train075,train075_S11_Sp007_F_L1_G1_A3,L_CP,
,اچھا جی میں اپنی یونیورسٹی میں ہوں اس وقت اور بہت زیادہ بارش ہو رہی ہے اور میں نے ابھی تک کچھ بھی نہیں کھایا تو میں کچھ کھانا چاہ رہی تھی میں اپنی یعنی کہ لائک یونیورسٹی کا جو نیم ہے وہ ہے پنجاب یونیورسٹی ,,
,میں پسند کروں گی دیسی کھانا اور جو پرائس رینج ہے وہ فائیو ہنڈرڈ سے ون تھاؤزنڈ ہے ,,
train076,train076_S11_Sp007_F_L1_G1_A3,L_CP,
,اچھا جی میں پنجاب یونیورسٹی سے بات کر رہی ہوں اور یہاں پر کھانے کے لیے کچھ بھی اویلیبل نہیں ہے تو کیا مجھے کھانے کے لیے کچھ مل سکتا ہے ,,
,اچھا جی میں فاسٹ فوڈ کھانا پسند کروں گی اور مناسب ریٹس پر,,
train080,train080_S11_Sp007_F_L1_G1_A3,L_CP,
,اچھا جی میں یو ای ٹی بس سٹینڈ پر کھڑی ہوں اور یہاں پر بہت زیادہ بارش ہو رہی ہے  اور کھانے کے لیے کچھ بھی اویلیبل نہیں ہے تو کیا مجھے کھانے کے لیے آپ کوئی ریسٹورنٹ ریفر کر سکتی ہیں,,
,میں کوئی مناسب سی پرائس رینج ہو اور میں دیسی کھانا پسند کروں گی ,,
train081,train081_S11_Sp007_F_L1_G1_A3,L_CP,
,اچھا جی میں یو ای ٹی بس سٹاپ پر کھڑی ہوں اور یہاں پر موسم بہت خراب ہے بہت زیادہ بارش ہو رہی ہے اور کھانے کے لیے کچھ بھی اویلیبل نہیں ہے تو کیا آپ مجھے کوئی ریسٹورینٹ ریفر کر سکتی ہیں  ,,
,میں کوئی مناسب سی پرائس لائک فائیو ہنڈرڈ ٹو ون تھاؤزنڈ اور مناسب سا کھانا لائک دیسی ,,
train082,train082_S12_Sp007_F_L1_G1_A3,P_CL,
,مجھے بہت زیادہ بھوک لگی ہے اور میرے پاس جو ہے پرائس بہت  ریزنیبل سی ہے لائک ون تھاؤزنڈ  ,,
,اچھا جگہ تو لنک روڈ ہو لائک لنک روڈ ہو اور کھانا کوئی مناسب ہو لائک کوئی فاسٹ فوڈ ہو جائے  ,,
train083,train083_S12_Sp007_F_L1_G1_A3,P_CL,
,اچھا جی میرے پاس بہت کم پیسے ہیں اور مجھے بہت زیادہ بھوک لگی ہے,,
,میں چائنیز کھانا پسند کروں گی ٹاؤن شپ سے,,
train084,train084_S13_Sp007_F_L1_G1_A3,LCP,
,میں ڈی ایچ اے سے بات کر رہی ہوں اور میں چائنیز کھانا چاہتی ہوں اور میری پرائس رینج جو ہے وہ ٹو تھاؤزنڈ تک ہے,,
train085,train085_S13_Sp007_F_L1_G1_A3,LCP,
,میں ڈیفنس سے بات کر رہی ہوں اور اس وقت جو ہے یہاں کا بہت زیادہ موسم خراب ہے کھانے کے لیے کچھ بھی اویلیبل نہیں ہے اور میں چائنیز کھانا چاہتی ہوں اور پیسے بھی میرے پاس اس وقت جو اویلیبل ہیں وہ جسٹ ٹو تھاؤزنڈ تک ہیں تو کیا آپ مجھے بتا سکتی ہیں مجھے کچھ کھانے کے لیے مل سکتا ہے ان پرائس میں یا پھر نہیں,,
train087,train087_S5_Sp008_F_L1_G1_A3,L_P_C,
,میں یو ای ٹی سے بات  کر رہی ہوں مجھے بہت بھوک لگ رہی ہے تو میں کھانا کھانا چاہتی ہوں,,
, مناسب,,
,دیسی ,,
train088,train088_S1_Sp008_F_L1_G1_A3,L_C_P,
,میں یو ای ٹی سے بات کر رہی ہوں ,,
,چائنیز کھانا پسند کروں گی ,,
,مناسب,,
train089,train089_S7_Sp008_F_L1_G1_A3,LC_P,
,میں یو ای ٹی سے بات کر رہی ہوں میں برگر کھانا پسند کروں گی ,,
,مناسب,,
train090,train090_S7_Sp008_F_L1_G1_A3,LC_P,
,میں ڈی ایچ اے سے بات کر رہی ہوں میں چائنیز کھانا پسند کروں گی ,,
,میں مناسب میں,,
train091,train091_S8_Sp008_F_L1_G1_A3,LP_C,
,میں ٹاؤن شپ سے بات کر رہی ہوں میرے پاس صرف ہزار روپے ہیں ,,
,چائنیز,,
train092,train092_S8_Sp008_F_L1_G1_A3,LP_C,
,میں ڈی ایچ اے سے بات کر رہی ہوں اور میرے پاس صرف پانچ سو روپے ہیں ,,
,میں برگر کھانا پسند کروں گی,,
train093,train093_S9_Sp008_F_L1_G1_A3,CP-L,
,میرے  پاس ہزار روپے ہیں اور اس میں میں چکن کڑاہی کھانا چاہتی ہوں ,,
,ڈی ایچ اے سے,,
train094,train094_S9_Sp008_F_L1_G1_A3,CP_L,
,میرے پاس ہزار روپے ہیں میں برگر کھانا پسند کروں گی,,
,ٹاؤن شپ سے,,
train095,train095_S10_Sp008_F_L1_G1_A3,C-LP,
,مجھے نا بہت بھوک لگی ہے تو میں کڑاہی کھانا چاہتی ہوں,,
, ہزار سے پندرہ سو تک میں ڈی ایچ اے یا ٹاؤن شپ سے,,
train096,train096_S10_Sp008_F_L1_G1_A3,C_LP,
,مجھے نا بہت بھوک لگ رہی ہے تو میں نا کڑاہی کھانا چاہ رہی ہوں ,,
, جوہر ٹاؤن سے پندرہ سو تک میں,,
train097,train097_S1_Sp008_F_L1_G1_A3,L_C_P,
,میں ٹاؤن شپ سے بات کر رہی ہوں ,,
,مجھے کڑاہی کھانی ہے ,,
,ہزار ہزار تک میں ,,
train098,train098_S10_Sp008_F_L1_G1_A3,C_LP,
,مجھے نا بہت بھوک لگی ہے تو میں نے چائنیز کھانا ہے,,
, ٹاؤن شپ سے ہزار روپے میں,,
train099,train099_S11_Sp008_F_L1_G1_A3,L_CP,
,مجھے نا بہت بھوک لگ رہی ہے میں ٹاؤن شپ کے ایریا میں کھڑی ہوں,,
,میں برگر کھانا پسند کروں گی پانچ سو تک میں,,
train100,train100_S11_Sp008_F_L1_G1_A3,L_CP,
,میں نا جوہرٹاؤن میں کھڑی ہوں تو یہاں آپ مجھے بتا سکتے ہیں کوئی آس پاس کوئی اچھی جگہ جہاں میں کھانا کھا سکوں,,
,میں چائنیز کھانا پسند کروں گی ہزار روپے میں,,
train101,train101_S12_Sp008_F_L1_G1_A3,P_CL,
,میرے پاس نا صرف ہزار روپے ہیں اور مجھے بہت بھوک لگی ہے,,
,میں گول گپے کھانا پسند کروں گی جوہر ٹاؤن سے,,
train102,train102_S12_Sp008_F_L1_G1_A3,P_CL,
,میرے پاس ہزار روپے ہیں مجھے بہت بھوک لگی ہے,,
,میں جوہر ٹاؤن سے گول گپے کھانا پسند کروں گی,,
train103,train103_S2_Sp008_F_L1_G1_A3,P_C_L,
,میرے پاس دو ہزار روپے ہیں مجھے  بھوک لگی ہے,,
,میں پیزا کھانا پسند کروں گی,,
, ڈی ایچ اے سے,,
train104,train104_S13_Sp008_F_L1_G1_A3,LCP,
,میں گرین ٹاؤن سے بات کر رہی ہوں اور میرے پاس صرف دو ہزار روپے ہیں مجھے چائنیز کھانا ہے,,
train105,train105_S13_Sp008_F_L1_G1_A3,LCP,
,میں ڈی ایچ اے سے بات کر رہی ہوں مجھے دال چاول کھانے ہیں میرے پاس صرف پانچ سوروپے ہیں,,
train106,train106_S3_Sp009_F_L1_G1_A4,C_P_L,
,مجھے بہت بھوک لگی ہے اور مجھے چائنیز کھانا کھانا ہے,,
,میں مناسب کھانا پسند کروں گی,,
,میں یو ای ٹی سے منگوانا پسند کروں گی,,
train107,train107_S7_Sp009_F_L1_G1_A4,LC_P,
,میں اس وقت گرین ٹاؤن ایریا میں ہوں اور مجھے بہت بھوک لگی ہے تو میں برگر کھانا چاہتی ہوں.,,
,میں مناسب قیمت میں کھانا پسند کروں گی,,
train108,train108_S7_Sp009_F_L1_G1_A4,LC_P,
,میں جوہر ٹاؤن ایریا سے بول رہی ہوں اور مجھے اس وقت بہت بھوک لگی ہے تو میں دال چاول کھانا پسند کروں گی,,
,میں مہنگا کھانا پسند کروں گی,,
train109,train109_S8_Sp009_F_L1_G1_A4,LP_C,
,میں اس وقت اقبال ٹاؤن میں کھڑی ہوں اور میرے پاس فائیو ہنڈرڈ روپیز ہیں تو میں آپ مجھے کوئی قریب کا ریسٹورنٹ بتا سکتے ہیں جہاں سے میں اتنی رینج میں کھانا کھا سکوں,,
,فاسٹ فوڈ,,
train110,train110_S13_Sp009_F_L1_G1_A4,LCP,
,میں اس وقت ماڈل ٹاؤن میں کھڑی ہوں اور مجھے اس وقت بہت بھوک لگی ہے میرے پاس ہزار روپے ہیں تو مجھے نا برگر کھانا ہے,,
train111,train111_S8_Sp009_F_L1_G1_A4,LP_C,
,میں اقبال ٹاؤن میں کھڑی ہوں اور مجھے بہت بھوک لگی ہے اور میرے پاس صرف ہزار روپے ہیں,,
,میں چائنیز کھانا پسند کروں گی,,
train112,train112_S9_Sp009_F_L1_G1_A4,CP_L,
,میرے پاس فائیو ہنڈرڈ ہیں اور مجھے فرائز کھانے ہیں,,
,میں یہ جوہر ٹاؤن سے منگوانا چاہوں گی,,
train113,train113_S9_Sp009_F_L1_G1_A4,CP_L,
,میرے پاس اس وقت جو ہے ہنڈرڈ روپیز ہیں اور مجھے بہت بھوک لگی ہے تو میں نے فرائز کھانے ہیں,,
,میں یہ گرین ٹاؤن ایریا سے منگوانا پسند کروں گی,,
train114,train114_S10_Sp009_F_L1_G1_A4,C_LP,
